input,intent,response,title
just asking total cost asap,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
is it true that good morning thank you,greeting,hello! great to have you here. what are you shopping for?,Greeting
bag price??,price_inquiry,free delivery on orders above rs. 999,Price Related Query
rigid denim,material_inquiry,it's linen perfect for summer!,Material Inquiry
bro what about kurta sets thanks,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
order confirmed if possible,order_status,"yes, orders are dispatched in 24 hrs. share id to track",Order Support
can u tell me good morning bro,greeting,hey! we're here. ask away!,Greeting
any fusion wear if possible,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
also kids size 10 years if possible,size_inquiry,"we have s, m, l, xl xxl in most items",Size Inquiry
quick q deliver to rural area?pls,delivery_query,we ship all over india! what's your city?,Delivery Information
bro do you have gym wear asap,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
any xs,size_inquiry,xl is in stock! want to order?,Size Inquiry
hi can i still order?,availability_check,black is available in most sizes,Stock Availability
shukriya,goodbye,bye come back anytime,Goodbye
is there a combo offer,price_inquiry,free delivery on orders above rs. 999,Price Related Query
so hypoallergenic materail today,material_inquiry,premium quality fabric comfortable and durable,Material Inquiry
does it wrinkle easily,material_inquiry,it's 100 cotton fabric,Material Inquiry
delivery between specific time,delivery_query,delivery in 35 working days,Delivery Information
good service,goodbye,thanks for visiting! see you soon,Goodbye
is it true that is it skin friendly...,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
s size available,size_inquiry,"yes, xl is available right now",Size Inquiry
quick question catch you later need to know,goodbye,thank you! happy shopping,Goodbye
quick q hello anyone there? right now,greeting,hey! how can i help you?,Greeting
do you know if emi avlble,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
colourfast!,material_inquiry,machine wash safe. doesn't shrink or fade,Material Inquiry
any flip flops urgent,product_inquiry,"yes, lots of options! what category are you interested in?",Product Inquiry
got scarves,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
actually heyyy??,greeting,hello! tell me what you need,Greeting
actually hi do you have a minute please,greeting,hello! tell me what you need,Greeting
is it khadi,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
rate with delivery,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
bro got scarves pls,product_inquiry,"we have casual, ethnic, formal activewear. anything specific?",Product Inquiry
same to you,goodbye,glad i could help! take care,Goodbye
umm great help thanks,goodbye,thanks for visiting! see you soon,Goodbye
actually thanks bye??,goodbye,take care! ping us whenever you need,Goodbye
can you tell me hey are you there pls,greeting,hi what's up? how can i assist?,Greeting
just asking do u have more stok!,availability_check,yes available! want to place an order?,Stock Availability
hi tell me about your collection asap,product_inquiry,"yes, lots of options! what category are you interested in?",Product Inquiry
also coral available need to know,availability_check,currently in stock want me to reserve one for you?,Stock Availability
quick q hi shop open?pls,greeting,hello! welcome what can i do for you?,Greeting
just asking yo??,greeting,hi! how can we help you today?,Greeting
see u soon,goodbye,anytime! have a great day,Goodbye
i heard that ok i'll place purchase pls,goodbye,bye! we're always here if you need us,Goodbye
morning,greeting,hello! tell me what you need,Greeting
recycled fabric,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
pre-shrunk fabric,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
umm hello anyone there? ji,greeting,hello! tell me what you need,Greeting
tracking number,order_status,we take this seriously share the order id and we'll fix it!,Order Support
pls order nahi aayaplz,order_status,please share a photo order id for damagedwrong item,Order Support
is this seasonal,availability_check,"that color is currently out of stock, restock in 7 days",Stock Availability
hey hi bro??,greeting,"hey, welcome! what are you shopping for?",Greeting
purchase placed tha,order_status,we'll raise it with the courier. please share order id,Order Support
umm is it organic cotton!,material_inquiry,premium quality fabric comfortable and durable,Material Inquiry
how much for 2 pieces,price_inquiry,free delivery on orders above rs. 999,Price Related Query
can u tell me what brands do u carry yaar,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
please bootcut available!,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
availble?,availability_check,in stock! which size do you need?,Stock Availability
how much for shoes,price_inquiry,we have great prices across all budgets. what's your range?,Price Related Query
so pincode serviceable quickly,delivery_query,we ship all over india! what's your city?,Delivery Information
please when will order come quickly,order_status,refund processed in 57 days after we receive the item,Order Support
hi is this cotton?pls,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
actually when will it restock ?,availability_check,"yes, available right now!",Stock Availability
ok thanks bro,goodbye,thanks! have a great day,Goodbye
umm last piece? bro,availability_check,yes available! want to place an order?,Stock Availability
i heard that refund when if possible,order_status,happy to help! please share your order id,Order Support
return window today,order_status,happy to help! please share your order id,Order Support
hi do you have jeans quickly,product_inquiry,lots of new stuff in! what kind of clothing do you need?,Product Inquiry
catch you later,goodbye,bye! come back anytime,Goodbye
someone told me hello i saw your store??,greeting,hey! how can i help you?,Greeting
is it true that what's available,product_inquiry,lots of new stuff in! what kind of clothing do you need?,Product Inquiry
so any fusion wear today,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
pls morning! ji,greeting,hey! we're here. ask away!,Greeting
exchange possible?,order_status,"yes, orders are dispatched in 24 hrs. share id to track",Order Support
wondering if sze 9 shoes please,size_inquiry,"yes, xl is available right now",Size Inquiry
party wear,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
so like any new arrivals?plz,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
hey international delivery???,delivery_query,we ship all over india! what's your city?,Delivery Information
wondering if hello team?,greeting,hi there! what are you looking for?,Greeting
i wanted to ask got size 36?,size_inquiry,"we have s, m, l, xl xxl in most items",Size Inquiry
hello i saw your store,greeting,hi there! what are you looking for?,Greeting
thanks will think about it,goodbye,bye! come back anytime,Goodbye
return process,order_status,sorry for the delay! please share order id so we can help,Order Support
deliver to rural area,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
fastest shipping,delivery_query,we ship all over india! what's your city?,Delivery Information
do you know if any belts today,product_inquiry,lots of new stuff in! what kind of clothing do you need?,Product Inquiry
also anything below 1000 need to know,price_inquiry,kurtas range rs. 599rs. 2499 depending on design,Price Related Query
quick question purchase tracking,order_status,"yes, orders are dispatched in 24 hrs. share id to track",Order Support
i heard that po box delivery,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
what is the fabric like,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
actually order modify karna hai?,order_status,share your order number and we'll track it for you,Order Support
can you tell me sup today,greeting,"hey, welcome! what are you shopping for?",Greeting
budget friendly,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
what brands do u carry...,product_inquiry,"got a fresh collection just in casual, ethnic formals",Product Inquiry
size 40,size_inquiry,yes we have that size! which product?,Size Inquiry
do you know if does it fade quickly,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
XL,size_inquiry,yes we have that size! which product?,Size Inquiry
btw what kinda clothes u have?,product_inquiry,"we sell tops, tees, jeans, kurtas, dresses more. what do you need?",Product Inquiry
thanks for the info,goodbye,take care! ping us whenever you need,Goodbye
just asking do you have shoes!,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
hey,greeting,hello welcome to our store how can i help you,Greeting
latest collection?,product_inquiry,"yes, lots of options! what category are you interested in?",Product Inquiry
can you tell me do you have co-ords asap,product_inquiry,"got a fresh collection just in casual, ethnic formals",Product Inquiry
someone told me anyone active quickly,greeting,hey there! happy to help,Greeting
quick q is it see through...,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
is this a popular item,availability_check,"yes, available right now!",Stock Availability
btw hi good morning?,greeting,hey! we're here. ask away!,Greeting
size 38 shirt available,size_inquiry,"yes, xl is available right now",Size Inquiry
hey got any solid color shirts please,product_inquiry,"we have casual, ethnic, formal activewear. anything specific?",Product Inquiry
bulk amount,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
bro rate kya hai,price_inquiry,free delivery on orders above rs. 999,Price Related Query
also is the colour fast today,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
3xl available,size_inquiry,xl is in stock! want to order?,Size Inquiry
pune shipping,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
got navy blue,availability_check,currently in stock want me to reserve one for you?,Stock Availability
is it true that recycled fabric?,material_inquiry,it's linen perfect for summer!,Material Inquiry
actually ok thanks??,goodbye,thanks! have a great day,Goodbye
i heard that velvet fabric asap,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
just asking where's my orderplz,order_status,share your order number and we'll track it for you,Order Support
any party wear,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
do you deliver to all pin codes,delivery_query,you'll get a tracking link once dispatched,Delivery Information
"hi hi, available??",greeting,hey! how can i help you?,Greeting
quick question i received torn item urgent,order_status,please share a photo order id for damagedwrong item,Order Support
size 32,size_inquiry,yes we have that size! which product?,Size Inquiry
purchase update please?,order_status,we take this seriously share the order id and we'll fix it!,Order Support
delivery cost,delivery_query,free delivery on orders above rs. 999,Delivery Information
quick question hello please help??,greeting,hey there! happy to help,Greeting
can you tell me given to neighbor,order_status,we'll raise it with the courier. please share order id,Order Support
actually student discount need to know,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
is this seasonal urgent,availability_check,restocking this week. want me to notify you?,Stock Availability
quick question order modify...,order_status,please share a photo order id for damagedwrong item,Order Support
just asking hi good morning quickly,greeting,hello! tell me what you need,Greeting
is it true that size guide please today,size_inquiry,xl is in stock! want to order?,Size Inquiry
bro hey quick question...,greeting,hello! great to have you here. what are you shopping for?,Greeting
do you sell slippers,product_inquiry,"got a fresh collection just in casual, ethnic formals",Product Inquiry
kurta size m available?,size_inquiry,"yes, xl is available right now",Size Inquiry
ty,goodbye,thanks for visiting! see you soon,Goodbye
limited stock? urgent,availability_check,restocking this week. want me to notify you?,Stock Availability
size chart,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
do you have co-ords...,product_inquiry,"we sell tops, tees, jeans, kurtas, dresses more. what do you need?",Product Inquiry
year round available?,availability_check,in stock! which size do you need?,Stock Availability
is it true that purchase status!,order_status,happy to help! please share your order id,Order Support
urgent delivery?,delivery_query,shipping charge is rs. 49rs. 99 for smaller orders,Delivery Information
i wanted to ask check print,availability_check,let me check which color and size?,Stock Availability
someone told me still waiting for order,order_status,"yes, orders are dispatched in 24 hrs. share id to track",Order Support
umm under 500 anything urgent,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
please purchase not received need to know,order_status,sorry for the delay! please share order id so we can help,Order Support
hi what's the fastest option thanks,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
just asking one size fits all today,size_inquiry,"we have s, m, l, xl xxl in most items",Size Inquiry
quick question corduroy available...,material_inquiry,machine wash safe. doesn't shrink or fade,Material Inquiry
hey what's the price??,price_inquiry,we have great prices across all budgets. what's your range?,Price Related Query
also thanks! ?,goodbye,thanks! have a great day,Goodbye
size 30 jeans,size_inquiry,we carry s to 3xl for most products,Size Inquiry
fabric quality?,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
purchase cancel,order_status,happy to help! please share your order id,Order Support
adjustable waist,size_inquiry,"we have s, m, l, xl xxl in most items",Size Inquiry
cost kya hai,price_inquiry,jeans are rs. 999 to rs. 2499. great quality for the price!,Price Inquiry
what material is this thanks,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
also heyy!,greeting,"hey, welcome! what are you shopping for?",Greeting
umm pincode check karo??,delivery_query,express delivery available in 12 days for select cities,Delivery Information
kurti price,price_inquiry,jeans are rs. 999 to rs. 2499. great quality for the price!,Price Inquiry
purchase kahan hai,order_status,please share a photo order id for damagedwrong item,Order Support
is it true that when will it arrive quickly,delivery_query,yes we deliver there! 35 days estimated,Delivery Information
kolkata shipping,delivery_query,delivery in 35 working days,Delivery Information
so like what's it made of...,material_inquiry,it's linen perfect for summer!,Material Inquiry
umm xl in this? fast,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
kurti,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
wondering if how much does it cost asap,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
wondering if do you have t-shirts urgent,product_inquiry,lots of new stuff in! what kind of clothing do you need?,Product Inquiry
restock hoga?,availability_check,"limited stock remaining, better order soon!",Stock Availability
any sarees available,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
hey hello quickly,greeting,hi there! what are you looking for?,Greeting
is it winter fabric,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
hi soft hai kya? right now,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
shipping on sunday,delivery_query,delivery depends on your pin code. what's your location?,Delivery Information
actually footwear cost,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
order number,order_status,we'll raise it with the courier. please share order id,Order Support
order late,order_status,we take this seriously share the order id and we'll fix it!,Order Support
i'll come back,goodbye,thanks! have a great day,Goodbye
pls fast delivery possible? urgent,delivery_query,delivery in 35 working days,Delivery Information
cost of jeans,price_inquiry,we have great prices across all budgets. what's your range?,Price Related Query
i wanted to ask is there a combo offer urgent,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
umm will order later,goodbye,thanks! hope to see your order soon,Goodbye
btw deliver pan india,delivery_query,free delivery on orders above rs. 999,Delivery Information
how long for shipping,delivery_query,shipping charge is rs. 49rs. 99 for smaller orders,Delivery Information
do you sell innerwear if possible,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
so like how much for shipping...,delivery_query,we ship all over india! what's your city?,Delivery Information
bro do u have jeans urgent,product_inquiry,"we have shirts, kurtas, jeans, tops, dresses more",Product Inquiry
wondering if got l and xl both today,size_inquiry,"yes, xl is available right now",Size Inquiry
delivery,delivery_query,we ship all over india! what's your city?,Delivery Information
also olive green urgent,availability_check,restocking this week. want me to notify you?,Stock Availability
i wanted to ask ok bhaiya bye bro,goodbye,glad i could help! take care,Goodbye
so mid range options if possible,price_inquiry,free delivery on orders above rs. 999,Price Related Query
hi neon colors quickly,availability_check,restocking this week. want me to notify you?,Stock Availability
heyy today,greeting,hey! how can i help you?,Greeting
please thanks will think about it??,goodbye,bye! come back anytime,Goodbye
so like courier charge? urgent,delivery_query,yes we deliver there! 35 days estimated,Delivery Information
still waiting for order quickly,order_status,refund processed in 57 days after we receive the item,Order Support
wondering if is this cotton right now,material_inquiry,premium quality fabric comfortable and durable,Material Inquiry
i wanted to ask hi good morning?,greeting,hi what's up? how can i assist?,Greeting
hey bro order kahan hai quickly,order_status,share your order number and we'll track it for you,Order Support
purchase update please,order_status,sorry for the delay! please share order id so we can help,Order Support
umm order status asap,order_status,sorry for the delay! please share order id so we can help,Order Support
jeans size 32,size_inquiry,yes we have that size! which product?,Size Inquiry
actually purple available?pls,availability_check,let me check which color and size?,Stock Availability
hey i wanted to ask something,greeting,hi what's up? how can i assist?,Greeting
bro chest 42 size urgent,size_inquiry,"we have s, m, l, xl xxl in most items",Size Inquiry
double payment,order_status,share your order number and we'll track it for you,Order Support
actually is this still being sold ji,availability_check,black is available in most sizes,Stock Availability
can you tell me return process,order_status,share your order number and we'll track it for you,Order Support
is it true that any cotton clothes,product_inquiry,"yes! we carry men's, women's kids' clothing. what are you looking for?",Product Inquiry
wondering if alright bye urgent,goodbye,take care! ping us whenever you need,Goodbye
how to wash,material_inquiry,premium quality fabric comfortable and durable,Material Inquiry
budget friendly?,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
where's my order,order_status,refund processed in 57 days after we receive the item,Order Support
do you know if rate urgent,price_inquiry,we have great prices across all budgets. what's your range?,Price Related Query
is it see through if possible,material_inquiry,it's linen perfect for summer!,Material Inquiry
raw denim,material_inquiry,"very soft and lightweight material, ideal for daily use",Material Inquiry
hi do you go above xxl quickly,size_inquiry,we carry s to 3xl for most products,Size Inquiry
umm deliver to rural area?plz,delivery_query,express delivery available in 12 days for select cities,Delivery Information
i wanted to ask full refund right now,order_status,we take this seriously share the order id and we'll fix it!,Order Support
hey delivery by when,delivery_query,yes we deliver there! 35 days estimated,Delivery Information
wondering if is this velvet,material_inquiry,"very soft and lightweight material, ideal for daily use",Material Inquiry
just asking good morning urgent,greeting,hi what's up? how can i assist?,Greeting
so order id?,order_status,happy to help! please share your order id,Order Support
hey r u there,greeting,hey! how can i help you?,Greeting
bro baby clothes cost,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
someone told me i got the wrong size!,order_status,we take this seriously share the order id and we'll fix it!,Order Support
does it feel rough,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
i heard that xl in this??,size_inquiry,"yes, that size is available! which item?",Size Inquiry
hi latest collection?pls,product_inquiry,"we sell tops, tees, jeans, kurtas, dresses more. what do you need?",Product Inquiry
any linen clothes,product_inquiry,lots of new stuff in! what kind of clothing do you need?,Product Inquiry
also replacement request??,order_status,cancellation possible before dispatch. share order id!,Order Support
what sizes do u have,size_inquiry,"yes, that size is available! which item?",Size Inquiry
hello please help,greeting,hey! we're here. ask away!,Greeting
someone told me i received torn item??,order_status,we'll raise it with the courier. please share order id,Order Support
yo rate for xl size bro,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
also in stock? right now,availability_check,let me check which color and size?,Stock Availability
hi how much asap,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
how many days delivery,delivery_query,we use trusted couriers delhivery bluedart dtdc,Delivery Query
hey yo?,greeting,hi what's up? how can i assist?,Greeting
bro cost kya hai,price_inquiry,current sale up to 40 off on select items!,Price Related Query
i wanted to ask do you stock all sizes??,size_inquiry,"we have s, m, l, xl xxl in most items",Size Inquiry
embroidered available,availability_check,currently in stock want me to reserve one for you?,Stock Availability
is it true that exchange possible,order_status,we'll raise it with the courier. please share order id,Order Support
how much is the ethnic set,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
hi good morning,greeting,hi there! what are you looking for?,Greeting
bro availble? right now,availability_check,let me check which color and size?,Stock Availability
btw do u have in green!,availability_check,let me check which color and size?,Stock Availability
hi i'm new here,greeting,hi what's up? how can i assist?,Greeting
hi ombre shade today,availability_check,yes that's available! want to go ahead and order?,Stock Availability
please is it good for hot weather today,material_inquiry,it's 100 cotton fabric,Material Inquiry
wanted to know contactless delivery need to know,delivery_query,"we use trusted couriers delhivery, bluedart dtdc",Delivery Information
hi very helpful,goodbye,thanks for visiting! see you soon,Goodbye
hii,greeting,hi! how can we help you today?,Greeting
ordder cancel...,order_status,sorry for the delay! please share order id so we can help,Order Support
should i siez up,size_inquiry,"yes, that size is available! which item?",Size Inquiry
thank you very much,goodbye,anytime! have a great day,Goodbye
order confirmed,order_status,"yes, orders are dispatched in 24 hrs. share id to track",Order Support
actually delivery to mumbai?,delivery_query,you'll get a tracking link once dispatched,Delivery Information
please is this cotton?!,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
hey can i get xxl??,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
evening delivery slot,delivery_query,delivery in 35 working days,Delivery Information
any sportswear?,product_inquiry,"we sell tops, tees, jeans, kurtas, dresses more. what do you need?",Product Inquiry
tracking link,order_status,"yes, orders are dispatched in 24 hrs. share id to track",Order Support
heavy fabric today,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
standard vs express difference,delivery_query,delivery in 35 working days,Delivery Information
please thx asap,goodbye,thanks for visiting! see you soon,Goodbye
any sale items?,product_inquiry,"yes, lots of options! what category are you interested in?",Product Inquiry
please hey ...,greeting,hello! tell me what you need,Greeting
actually bro price kya hai ji,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
do u have this right now bro,availability_check,"yes, available right now!",Stock Availability
order placed,order_status,please share your order id and ill look it up,Order Status
hi fabric type thanks,material_inquiry,machine wash safe. doesn't shrink or fade,Material Inquiry
hi bro,greeting,hello! tell me what you need,Greeting
actually purchase modify karna hai?,order_status,share your order number and we'll track it for you,Order Support
do you have kurtis,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
please hi good morning thanks,greeting,hey! how can i help you?,Greeting
do you know if do you have size 10 for kids today,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
thanks for help,goodbye,bye! we're always here if you need us,Goodbye
please is it polyester ?,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
hello team,greeting,hey! we're here. ask away!,Greeting
cheapest item,price_inquiry,free delivery on orders above rs. 999,Price Related Query
just asking heavy fabric,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
that answered my question need to know,goodbye,bye! we're always here if you need us,Goodbye
got anything for men,product_inquiry,"we have casual, ethnic, formal activewear. anything specific?",Product Inquiry
quick question is this velvet thank you,material_inquiry,"high quality fabric, won't fade after wash",Material Inquiry
i heard that show me tops pls,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
hi is anyone online,greeting,hi there! what are you looking for?,Greeting
please colourfast thank you,material_inquiry,"very soft and lightweight material, ideal for daily use",Material Inquiry
morning!,greeting,hello! welcome what can i do for you?,Greeting
any other colors?,availability_check,"that color is currently out of stock, restock in 7 days",Stock Availability
can you tell me heyy...,greeting,hi there! what are you looking for?,Greeting
actually holiday delivry? urgent,delivery_query,free delivery on orders above rs. 999,Delivery Information
can you tell me how much for track pants right now,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
that answered my question,goodbye,thanks! hope to see your order soon,Goodbye
does it fade,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
can you tell me is this a popular item??,availability_check,"limited stock remaining, better order soon!",Stock Availability
bro order kahan hai,order_status,"yes, orders are dispatched in 24 hrs. share id to track",Order Support
actually spreading the word,goodbye,bye! come back anytime,Goodbye
is this cotton,material_inquiry,it's 100 cotton fabric,Material Inquiry
do you know if buy now pay later if possible,price_inquiry,yes we have budget options! starting from rs. 299,Price Related Query
is it true that yo!,greeting,"hey, welcome! what are you shopping for?",Greeting
affordable hai kya,price_inquiry,price depends on the item. which one are you asking about?,Price Related Query
umm hi can you assist me need to know,greeting,hi there! what are you looking for?,Greeting
what's the amount,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
mint green,availability_check,black is available in most sizes,Stock Availability
got 4xl?,size_inquiry,xl is in stock! want to order?,Size Inquiry
someone told me hello good evening,greeting,hey! how can i help you?,Greeting
umm got any printed shirts asap,product_inquiry,"got a fresh collection just in casual, ethnic formals",Product Inquiry
do you deliver here if possible,delivery_query,shipping charge is rs. 49rs. 99 for smaller orders,Delivery Information
wanted to know talk later,goodbye,bye! we're always here if you need us,Goodbye
keep it up,goodbye,anytime! have a great day,Goodbye
umm stock check,availability_check,in stock! which size do you need?,Stock Availability
noted thanks,goodbye,bye! come back anytime,Goodbye
soft fabric,material_inquiry,premium quality fabric comfortable and durable,Material Inquiry
amount for xl size,price_inquiry,we have options starting rs. 299! what's your budget?,Price Related Query
quick question do you have winter jackets!,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
bro missing item in package thank you,order_status,please share your order id and i'll check right away!,Order Support
do you have 2xl,size_inquiry,which product? i'll check the size for you,Size Inquiry
hi is s size in stock if possible,size_inquiry,we go up to 3xl which item are you asking about?,Size Inquiry
wanted to know cargo pants available please,product_inquiry,"yes, lots of options! what category are you interested in?",Product Inquiry
please is there a combo offer urgent,price_inquiry,yes we have budget options! starting from rs. 299,Price Related Query
quick question size 6 shoes quickly,size_inquiry,size m is available. what product do you need it for?,Size Inquiry
hey bro,greeting,hello! tell me what you need,Greeting
please i got what i needed urgent,goodbye,thanks for visiting! see you soon,Goodbye
do you have this in all colors,availability_check,yes that's available! want to go ahead and order?,Stock Availability
also sup ?,greeting,hi what's up? how can i assist?,Greeting
kitna hai,price_inquiry,kurtas range rs. 599rs. 2499 depending on design,Price Related Query
so adding to contacts pls,goodbye,thanks for visiting! see you soon,Goodbye
nylon material,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
do you have overnight shipping,delivery_query,free delivery on orders above rs. 999,Delivery Information
do you sell sarees please,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
maximum discount,price_inquiry,kurtas range rs. 599rs. 2499 depending on design,Price Related Query
wanted to know any xs urgent,size_inquiry,"yes, that size is available! which item?",Size Inquiry
bro where is my package thanks,order_status,we take this seriously share the order id and we'll fix it!,Order Support
shipping estimate,delivery_query,delivery in 35 working days,Delivery Information
rate for xl size,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
quick q szize 30 jeans???,size_inquiry,"yes, xl is available right now",Size Inquiry
summer fabric hai?!,material_inquiry,cotton-polyester blend. good quality!,Material Inquiry
kurti available,availability_check,let me check! which product and color?,Availability Check
so do you have shoes urgent,product_inquiry,we've got a great range! what specifically are you looking for?,Product Inquiry
btw is it out of stoock??,availability_check,"that color is currently out of stock, restock in 7 days",Stock Availability
just asking ok got the info urgent,goodbye,take care! ping us whenever you need,Goodbye
so hello anyone there!,greeting,hey there! happy to help,Greeting
actually cap cost,price_inquiry,jeans are rs. 999rs. 2499. good quality for the price!,Price Related Query
much appreciated,goodbye,thanks! hope to see your order soon,Goodbye
yo purchase missing...,order_status,cancellation possible before dispatch. share order id!,Order Support
wondering if hi i want to buy something urgent,greeting,hello! great to have you here. what are you shopping for?,Greeting
actually do you have shoes asap,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
umm hlo ?,greeting,hey! how can i help you?,Greeting
quick question do you have free size?,size_inquiry,we carry s to 3xl for most products,Size Inquiry
hi cheap options? ji,price_inquiry,free delivery on orders above rs. 999,Price Related Query
is it true that colourfast thank you,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
is it see through,material_inquiry,it's linen perfect for summer!,Material Inquiry
please order tracking please,order_status,share your order number and we'll track it for you,Order Support
hi village shipping today,delivery_query,"we use trusted couriers delhivery, bluedart dtdc",Delivery Information
btw do u have western wear quickly,product_inquiry,"we have casual, ethnic, formal activewear. anything specific?",Product Inquiry
just asking what's hot right now??,product_inquiry,new arrivals just dropped! tell me what you're looking for,Product Inquiry
i wanted to ask chest 42 size,size_inquiry,yes we have that size! which product?,Size Inquiry
i heard that ok i'll place order pls,goodbye,bye! we're always here if you need us,Goodbye
can u tell me does it shrink?...,material_inquiry,"soft stretchable fabric, very comfortable",Material Inquiry
hey hiii quickly,greeting,hi! how can we help you today?,Greeting
hi i'm new here fast,greeting,"hey, welcome! what are you shopping for?",Greeting
please size 8 shoes pls,size_inquiry,we carry s to 3xl for most products,Size Inquiry
quick question got running shoes urgent,product_inquiry,"we sell tops, tees, jeans, kurtas, dresses more. what do you need?",Product Inquiry
is it true that does it run large quickly,size_inquiry,which product? i'll check the size for you,Size Inquiry
bro price kya hai,price_inquiry,current sale up to 40 off on select items!,Price Related Query
also hey i'm interested in buying right now,greeting,hi! how can we help you today?,Greeting
umm hi bro!,greeting,hello! tell me what you need,Greeting
someone told me petite size thanks,size_inquiry,"yes, xl is available right now",Size Inquiry
do u sell formals,product_inquiry,"got a fresh collection just in casual, ethnic formals",Product Inquiry
solid color available,availability_check,in stock! which size do you need?,Stock Availability
can you tell me rigid denim...,material_inquiry,"yes pure cotton, breathable skin friendly",Material Inquiry
do you know if cost same for all sizes quickly,price_inquiry,shirts start from rs. 499. which one are you looking at?,Price Related Query
soft hai kya?,material_inquiry,"made of soft cotton, very comfortable for daily wear",Material Inquiry
do u have in green,availability_check,yes available! want to place an order?,Stock Availability
straight cut jeans,size_inquiry,yes we have that size! which product?,Size Inquiry
l size available for kurta,size_inquiry,"yes, xl is available right now",Size Inquiry
